Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
sʧ	7.202E-07	0.000258741	0.002783288	*sʧ
ʧs	5.0411E-06	0.000258741	0.019483015	*ʧs
bN	7.202E-07	0.000258055	0.002790685	*bN
Nb	0.000636614	0.000258055	2.46696528	Contig-Nb
wö	1.08023E-05	0.000257782	0.041904686	*wö
zt	7.202E-07	0.000256788	0.002804454	*zt
c#	2.1605E-06	0.000255309	0.00846211	*c#
së	0.002539974	0.000248843	10.2071353	Contig-së
bd	1.4403E-06	0.000246465	0.005843841	*bd
ʧm	2.8806E-06	0.000241306	0.011937578	*ʧm
kʲʃ	5.7612E-06	0.000241	0.023905417	*kʲʃ
ʃkʲ	4.53695E-05	0.000241	0.188255161	*ʃkʲ
hN	7.202E-07	0.000239825	0.003002824	*hN
Nh	0.000244131	0.000239825	1.017957238	--
cs	1.00821E-05	0.000239699	0.042061648	*cs
sc	2.1605E-06	0.000239699	0.00901321	*sc
Nʧ	0.000347833	0.000238569	1.457998064	Contig-Nʧ
ʃü	0.000861301	0.000235508	3.657206646	Contig-ʃü
më	0.000643095	0.000232074	2.771072889	Contig-më
Në	3.96083E-05	0.000229442	0.172628614	*Në
zk	6.4814E-06	0.000228849	0.028321534	*zk
fo	2.23247E-05	0.000227884	0.097965168	*fo
ʧd	7.9217E-06	0.000227854	0.034766431	*ʧd
yU	1.4403E-06	0.000226005	0.006372893	*yU
cm	8.6418E-06	0.000223546	0.038657839	*cm
Nc	7.27353E-05	0.000221011	0.329102593	*Nc
nʲI	1.29627E-05	0.000219958	0.058932627	*nʲI
dë	0.00019012	0.000219137	0.867584193	--
kʲö	0.00085626	0.000218539	3.918111441	Contig-kʲö
çt	0.000108743	0.000211979	0.512988494	*çt
cd	4.3209E-06	0.000211084	0.020470045	*cd
yQ	7.202E-07	0.000205339	0.003507138	*yQ
kʲg	1.4403E-06	0.000205099	0.007022464	*kʲg
pi	0.00019156	0.000203428	0.941660202	--
gü	2.66456E-05	0.000200425	0.13294538	*gü
ʤʃ	2.1605E-06	0.000196965	0.01096874	*ʤʃ
ʃʤ	1.4403E-06	0.000196965	0.007312493	*ʃʤ
çk	3.60076E-05	0.000188915	0.190601628	*çk
kç	4.3209E-06	0.000188915	0.022872195	*kç
bʃ	7.202E-07	0.000185899	0.00387388	*bʃ
ʃb	2.8806E-06	0.000185899	0.015495521	*ʃb
pe	0.000138989	0.000181391	0.766241125	--
ʤö	0.00152168	0.000178608	8.519685569	Contig-ʤö
zu	0.001574251	0.000175403	8.975031513	Contig-zu
hʃ	7.202E-07	0.000172766	0.004168361	*hʃ
ʃh	2.8806E-06	0.000172766	0.016673442	*ʃh
ʃʧ	1.15224E-05	0.000171862	0.06704482	*ʃʧ
ʧʃ	7.202E-07	0.000171862	0.004190301	*ʧʃ
bö	0.000133228	0.000168573	0.790326454	--
kʲU	7.202E-07	0.000168386	0.004276788	*kʲU
ʤg	7.202E-07	0.000167624	0.004296242	*ʤg
zn	1.4403E-06	0.00016757	0.008595214	*zn
fi	2.01642E-05	0.000166243	0.121293764	*fi
kʲI	0.002106443	0.000165694	12.71289033	Contig-kʲI
pt	2.8806E-06	0.000165397	0.017416364	*pt
ʃë	2.1605E-06	0.000165287	0.013070939	*ʃë
cʃ	4.3209E-06	0.000159213	0.027139173	*cʃ
ʃc	0.000033127	0.000159213	0.208066994	*ʃc
tï	0.000204523	0.000158346	1.291617708	Contig-tï
hö	0.001464788	0.000156664	9.349853439	Contig-hö
ʧö	0.000849779	0.000155844	5.452753209	Contig-ʧö
kʲy	7.202E-07	0.000154931	0.004648209	*kʲy
z#	7.202E-07	0.000153792	0.004682643	*z#
kʲnʲ	2.1605E-06	0.000153237	0.014098825	*kʲnʲ
kʲQ	6.4814E-06	0.000152989	0.042364926	*kʲQ
yü	0.005475311	0.0001514	36.16451462	Contig-yü
nʲü	0.000222527	0.000149744	1.486045543	Contig-nʲü
fe	2.73658E-05	0.000148234	0.184611864	*fe
kp	5.0411E-06	0.000147401	0.034199634	*kp
ʧg	1.4403E-06	0.00014626	0.009847556	*ʧg
çu	7.202E-07	0.000144796	0.004973569	*çu
zs	1.4403E-06	0.000144388	0.009975206	*zs
cö	7.202E-07	0.000144374	0.004988086	*cö
gʲa	8.20973E-05	0.000142464	0.576266134	*gʲa
gë	6.84144E-05	0.000140665	0.486365022	*gë
ʤU	2.8806E-06	0.000137619	0.020931815	*ʤU
cg	5.0411E-06	0.000135496	0.037204597	*cg
ʤI	0.000163474	0.000135418	1.20718388	--
ft	3.02464E-05	0.000135163	0.223776588	*ft
Nz	0.000453695	0.000133131	3.407878683	Contig-Nz
bU	5.7612E-06	0.000129887	0.044355512	*bU
bI	2.8806E-06	0.00012781	0.022538151	*bI
ʤQ	7.202E-07	0.000125035	0.00575961	*ʤQ
fk	3.16867E-05	0.000120457	0.263053424	*fk
ʧU	7.202E-07	0.000120079	0.005997312	*ʧU
çs	1.4403E-06	0.000119193	0.01208382	*çs
ʧI	0.00109247	0.000118159	9.245766385	Contig-ʧI
kʲkʲ	1.36829E-05	0.000115432	0.118536035	*kʲkʲ
gʲo	2.23247E-05	0.000113906	0.195993053	*gʲo
pu	0.00056964	0.000112977	5.042100215	Contig-pu
kʲü	0.000638774	0.000112802	5.662815245	Contig-kʲü
cU	0.00214317	0.000111242	19.26591734	Contig-cU
çm	1.4403E-06	0.000111161	0.012956936	*çm
ʧy	1.4403E-06	0.000110484	0.013036307	*ʧy
Nç	6.48136E-05	0.0001099	0.589750656	*Nç
ʧnʲ	3.6008E-06	0.000109276	0.03295115	*ʧnʲ
ʧQ	5.0411E-06	0.000109099	0.046206267	*ʧQ
pn	7.202E-07	0.000107931	0.006672305	*pn
çd	1.4403E-06	0.000104964	0.013721877	*çd
tä	0.000421289	0.0001032	4.082261359	Contig-tä
cy	5.7612E-06	0.000102353	0.056287852	*cy
pr	7.202E-07	0.000101327	0.007107174	*pr
rp	7.202E-07	0.000101327	0.007107174	*rp
cnʲ	2.1605E-06	0.000101233	0.021341352	*cnʲ
cQ	7.2015E-06	0.00010107	0.071252968	*cQ
rʲa	3.74479E-05	9.72258E-05	0.385163757	*rʲa
ʧw	1.4403E-06	9.70983E-05	0.014833447	*ʧw
rï	0.000149071	9.70083E-05	1.536687065	Contig-rï
zʃ	1.4403E-06	9.59058E-05	0.015017893	*zʃ
kʲʤ	7.202E-07	9.43404E-05	0.007633539	*kʲʤ
wë	2.1605E-06	9.33838E-05	0.02313522	*wë
ps	7.202E-07	0.000093	0.007743567	*ps
sp	1.29627E-05	0.000093	0.139384206	*sp
fu	0.000915312	9.23253E-05	9.913988306	Contig-fu
ʤü	0.001111194	9.21904E-05	12.05324097	Contig-ʤü
kä	0.000119545	9.19714E-05	1.299807245	Contig-kä
cw	1.4403E-06	8.99522E-05	0.016011876	*cw
sï	1.51232E-05	8.90358E-05	0.169855068	*sï
fn	7.202E-07	8.82023E-05	0.008164766	*fn
bü	0.000009362	8.70112E-05	0.107594974	*bü
zö	0.00023549	8.69673E-05	2.70779229	Contig-zö
Np	0.000441453	8.57494E-05	5.148173993	Contig-Np
gʲi	0.000710069	8.30949E-05	8.545281001	Contig-gʲi
mï	1.08023E-05	0.000083036	0.130091389	*mï
fr	7.202E-07	8.28055E-05	0.008696906	*fr
kʲh	7.9217E-06	0.00008275	0.095730076	*kʲh
kʲʧ	1.00821E-05	8.23167E-05	0.122479593	*kʲʧ
ʧkʲ	0.000009362	8.23167E-05	0.113731051	*ʧkʲ
Nï	7.2015E-06	8.20943E-05	0.087722479	*Nï
ʧü	0.000557397	8.04407E-05	6.92928842	Contig-ʧü
