Data generated for Whang 2021
Phrase-level contextual surprisal of "S2" after "S1" (Whang 2019, Shannon 1948)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1_	S2	BIPHONE-COUNT	CONTEXT-COUNT	Surprisal(S2)
Nh	N	h	339	43226	6.994470256
Na	N	a	143	43226	8.239740383
Nʦ	N	ʦ	101	43226	8.741400237
Ngʲ	N	gʲ	95	43226	8.829756111
Nç	N	ç	90	43226	8.907758623
Ne	N	e	71	43226	9.2498646
në	n	ë	84	54423	9.339611442
Nrʲ	N	rʲ	64	43226	9.399611719
Nu	N	u	59	43226	9.51696867
Në	N	ë	55	43226	9.618252006
nA	n	A	66	54423	9.687534746
Nbʲ	N	bʲ	49	43226	9.784901875
Nf	N	f	48	43226	9.814649219
Nö	N	ö	40	43226	10.07768362
Ntʲ	N	tʲ	35	43226	10.2703287
nä	n	ä	39	54423	10.44652665
Npʲ	N	pʲ	22	43226	10.9401801
nE	n	E	26	54423	11.03148915
Nmʲ	N	mʲ	20	43226	11.07768362
NN	N	N	16	43226	11.39961172
nO	n	O	15	54423	11.82503827
Nï	N	ï	10	43226	12.07768362
NQ	N	Q	6	43226	12.81464922
nN	n	N	6	54423	13.14696636
Nä	N	ä	4	43226	13.39961172
nü	n	ü	4	54423	13.73192887
n#	n	#	3	54423	14.14696636
NO	N	O	2	43226	14.39961172
nr	n	r	2	54423	14.73192887
nt	n	t	2	54423	14.73192887
NA	N	A	1	43226	15.39961172
Nü	N	ü	1	43226	15.39961172
nI	n	I	1	54423	15.73192887
nQ	n	Q	1	54423	15.73192887
nw	n	w	1	54423	15.73192887
nʲi	nʲ	i	19371	19805	0.031966268
nʲü	nʲ	ü	309	19805	6.002114053
nʲï	nʲ	ï	43	19805	8.847312326
nʲu	nʲ	u	37	19805	9.064123715
nʲI	nʲ	I	18	19805	10.10365208
nʲa	nʲ	a	13	19805	10.57313736
nʲo	nʲ	o	6	19805	11.68861458
nʲö	nʲ	ö	4	19805	12.27357708
nʲä	nʲ	ä	3	19805	12.68861458
nʲe	nʲ	e	1	19805	14.27357708
NNt	NN	t	2	6	1.584962501
NN#	NN	#	1	6	2.584962501
NNd	NN	d	1	6	2.584962501
NNg	NN	g	1	6	2.584962501
NNʃ	NN	ʃ	1	6	2.584962501
pa	p	a	1237	3824	1.628237023
pu	p	u	791	3824	2.273332924
pä	p	ä	395	3824	3.275157965
pi	p	i	266	3824	3.845584373
pö	p	ö	251	3824	3.929323254
po	p	o	214	3824	4.159399822
pe	p	e	193	3824	4.308409771
pï	p	ï	193	3824	4.308409771
pë	p	ë	114	3824	5.067976794
pU	p	U	104	3824	5.20042709
pü	p	ü	30	3824	6.993976212
pI	p	I	21	3824	7.508549385
pt	p	t	4	3824	9.900866808
pA	p	A	3	3824	10.31590431
pQ	p	Q	2	3824	10.90086681
pʃ	p	ʃ	2	3824	10.90086681
pn	p	n	1	3824	11.90086681
pr	p	r	1	3824	11.90086681
ps	p	s	1	3824	11.90086681
pkʲ	p	kʲ	1	3824	11.90086681
pʲö	pʲ	ö	175	212	0.276709343
